"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa6f1173335842c3536a","Ba Đình","quan","ba-dinh","Quận Ba Đình","Ba Đình, Hà Nội","Quận Ba Đình, Thành phố Hà Nội","001","01","False"
"60eaaa6f1173335842c3536b","Hoàn Kiếm","quan","hoan-kiem","Quận Hoàn Kiếm","Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm, Thành phố Hà Nội","002","01","False"
"60eaaa6f1173335842c3536c","Tây Hồ","quan","tay-ho","Quận Tây Hồ","Tây Hồ, Hà Nội","Quận Tây Hồ, Thành phố Hà Nội","003","01","False"
"60eaaa6f1173335842c3536d","Long Biên","quan","long-bien","Quận Long Biên","Long Biên, Hà Nội","Quận Long Biên, Thành phố Hà Nội","004","01","False"
"60eaaa6f1173335842c3536e","Cầu Giấy","quan","cau-giay","Quận Cầu Giấy","Cầu Giấy, Hà Nội","Quận Cầu Giấy, Thành phố Hà Nội","005","01","False"
"60eaaa6f1173335842c3536f","Đống Đa","quan","dong-da","Quận Đống Đa","Đống Đa, Hà Nội","Quận Đống Đa, Thành phố Hà Nội","006","01","False"
"60eaaa6f1173335842c35370","Hai Bà Trưng","quan","hai-ba-trung","Quận Hai Bà Trưng","Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng, Thành phố Hà Nội","007","01","False"
"60eaaa6f1173335842c35371","Hoàng Mai","quan","hoang-mai","Quận Hoàng Mai","Hoàng Mai, Hà Nội","Quận Hoàng Mai, Thành phố Hà Nội","008","01","False"
"60eaaa6f1173335842c35372","Thanh Xuân","quan","thanh-xuan","Quận Thanh Xuân","Thanh Xuân, Hà Nội","Quận Thanh Xuân, Thành phố Hà Nội","009","01","False"
"60eaaa6f1173335842c35373","Sóc Sơn","huyen","soc-son","Huyện Sóc Sơn","Sóc Sơn, Hà Nội","Huyện Sóc Sơn, Thành phố Hà Nội","016","01","False"
"60eaaa6f1173335842c35374","Đông Anh","huyen","dong-anh","Huyện Đông Anh","Đông Anh, Hà Nội","Huyện Đông Anh, Thành phố Hà Nội","017","01","False"
"60eaaa6f1173335842c35375","Gia Lâm","huyen","gia-lam","Huyện Gia Lâm","Gia Lâm, Hà Nội","Huyện Gia Lâm, Thành phố Hà Nội","018","01","False"
"60eaaa6f1173335842c35376","Nam Từ Liêm","quan","nam-tu-liem","Quận Nam Từ Liêm","Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm, Thành phố Hà Nội","019","01","False"
"60eaaa6f1173335842c35377","Thanh Trì","huyen","thanh-tri","Huyện Thanh Trì","Thanh Trì, Hà Nội","Huyện Thanh Trì, Thành phố Hà Nội","020","01","False"
"60eaaa6f1173335842c35378","Bắc Từ Liêm","quan","bac-tu-liem","Quận Bắc Từ Liêm","Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm, Thành phố Hà Nội","021","01","False"
"60eaaa6f1173335842c35379","Mê Linh","huyen","me-linh","Huyện Mê Linh","Mê Linh, Hà Nội","Huyện Mê Linh, Thành phố Hà Nội","250","01","False"
"60eaaa6f1173335842c3537a","Hà Đông","quan","ha-dong","Quận Hà Đông","Hà Đông, Hà Nội","Quận Hà Đông, Thành phố Hà Nội","268","01","False"
"60eaaa6f1173335842c3537b","Sơn Tây","thi-xa","son-tay","Thị xã Sơn Tây","Sơn Tây, Hà Nội","Thị xã Sơn Tây, Thành phố Hà Nội","269","01","False"
"60eaaa6f1173335842c3537c","Ba Vì","huyen","ba-vi","Huyện Ba Vì","Ba Vì, Hà Nội","Huyện Ba Vì, Thành phố Hà Nội","271","01","False"
"60eaaa6f1173335842c3537d","Phúc Thọ","huyen","phuc-tho","Huyện Phúc Thọ","Phúc Thọ, Hà Nội","Huyện Phúc Thọ, Thành phố Hà Nội","272","01","False"
"60eaaa6f1173335842c3537e","Đan Phượng","huyen","dan-phuong","Huyện Đan Phượng","Đan Phượng, Hà Nội","Huyện Đan Phượng, Thành phố Hà Nội","273","01","False"
"60eaaa6f1173335842c3537f","Hoài Đức","huyen","hoai-duc","Huyện Hoài Đức","Hoài Đức, Hà Nội","Huyện Hoài Đức, Thành phố Hà Nội","274","01","False"
"60eaaa6f1173335842c35380","Quốc Oai","huyen","quoc-oai","Huyện Quốc Oai","Quốc Oai, Hà Nội","Huyện Quốc Oai, Thành phố Hà Nội","275","01","False"
"60eaaa6f1173335842c35381","Thạch Thất","huyen","thach-that","Huyện Thạch Thất","Thạch Thất, Hà Nội","Huyện Thạch Thất, Thành phố Hà Nội","276","01","False"
"60eaaa6f1173335842c35382","Chương Mỹ","huyen","chuong-my","Huyện Chương Mỹ","Chương Mỹ, Hà Nội","Huyện Chương Mỹ, Thành phố Hà Nội","277","01","False"
"60eaaa6f1173335842c35383","Thanh Oai","huyen","thanh-oai","Huyện Thanh Oai","Thanh Oai, Hà Nội","Huyện Thanh Oai, Thành phố Hà Nội","278","01","False"
"60eaaa6f1173335842c35384","Thường Tín","huyen","thuong-tin","Huyện Thường Tín","Thường Tín, Hà Nội","Huyện Thường Tín, Thành phố Hà Nội","279","01","False"
"60eaaa6f1173335842c35385","Phú Xuyên","huyen","phu-xuyen","Huyện Phú Xuyên","Phú Xuyên, Hà Nội","Huyện Phú Xuyên, Thành phố Hà Nội","280","01","False"
"60eaaa6f1173335842c35386","Ứng Hòa","huyen","ung-hoa","Huyện Ứng Hòa","Ứng Hòa, Hà Nội","Huyện Ứng Hòa, Thành phố Hà Nội","281","01","False"
"60eaaa6f1173335842c35387","Mỹ Đức","huyen","my-duc","Huyện Mỹ Đức","Mỹ Đức, Hà Nội","Huyện Mỹ Đức, Thành phố Hà Nội","282","01","False"
"60eaaa6f1173335842c35388","Hà Giang","thanh-pho","ha-giang","Thành phố Hà Giang","Hà Giang, Hà Giang","Thành phố Hà Giang, Tỉnh Hà Giang","024","02","False"
"60eaaa6f1173335842c35389","Đồng Văn","huyen","dong-van","Huyện Đồng Văn","Đồng Văn, Hà Giang","Huyện Đồng Văn, Tỉnh Hà Giang","026","02","False"
"60eaaa6f1173335842c3538a","Mèo Vạc","huyen","meo-vac","Huyện Mèo Vạc","Mèo Vạc, Hà Giang","Huyện Mèo Vạc, Tỉnh Hà Giang","027","02","False"
"60eaaa6f1173335842c3538b","Yên Minh","huyen","yen-minh","Huyện Yên Minh","Yên Minh, Hà Giang","Huyện Yên Minh, Tỉnh Hà Giang","028","02","False"
"60eaaa6f1173335842c3538c","Quản Bạ","huyen","quan-ba","Huyện Quản Bạ","Quản Bạ, Hà Giang","Huyện Quản Bạ, Tỉnh Hà Giang","029","02","False"
"60eaaa6f1173335842c3538d","Vị Xuyên","huyen","vi-xuyen","Huyện Vị Xuyên","Vị Xuyên, Hà Giang","Huyện Vị Xuyên, Tỉnh Hà Giang","030","02","False"
"60eaaa6f1173335842c3538e","Bắc Mê","huyen","bac-me","Huyện Bắc Mê","Bắc Mê, Hà Giang","Huyện Bắc Mê, Tỉnh Hà Giang","031","02","False"
"60eaaa6f1173335842c3538f","Hoàng Su Phì","huyen","hoang-su-phi","Huyện Hoàng Su Phì","Hoàng Su Phì, Hà Giang","Huyện Hoàng Su Phì, Tỉnh Hà Giang","032","02","False"
"60eaaa6f1173335842c35390","Xín Mần","huyen","xin-man","Huyện Xín Mần","Xín Mần, Hà Giang","Huyện Xín Mần, Tỉnh Hà Giang","033","02","False"
"60eaaa6f1173335842c35391","Bắc Quang","huyen","bac-quang","Huyện Bắc Quang","Bắc Quang, Hà Giang","Huyện Bắc Quang, Tỉnh Hà Giang","034","02","False"
"60eaaa6f1173335842c35392","Quang Bình","huyen","quang-binh","Huyện Quang Bình","Quang Bình, Hà Giang","Huyện Quang Bình, Tỉnh Hà Giang","035","02","False"
"60eaaa6f1173335842c35393","Cao Bằng","thanh-pho","cao-bang","Thành phố Cao Bằng","Cao Bằng, Cao Bằng","Thành phố Cao Bằng, Tỉnh Cao Bằng","040","04","False"
"60eaaa6f1173335842c35394","Bảo Lâm","huyen","bao-lam","Huyện Bảo Lâm","Bảo Lâm, Cao Bằng","Huyện Bảo Lâm, Tỉnh Cao Bằng","042","04","False"
"60eaaa6f1173335842c35395","Bảo Lạc","huyen","bao-lac","Huyện Bảo Lạc","Bảo Lạc, Cao Bằng","Huyện Bảo Lạc, Tỉnh Cao Bằng","043","04","False"
"60eaaa6f1173335842c35396","Hà Quảng","huyen","ha-quang","Huyện Hà Quảng","Hà Quảng, Cao Bằng","Huyện Hà Quảng, Tỉnh Cao Bằng","045","04","False"
"60eaaa6f1173335842c35397","Trùng Khánh","huyen","trung-khanh","Huyện Trùng Khánh","Trùng Khánh, Cao Bằng","Huyện Trùng Khánh, Tỉnh Cao Bằng","047","04","False"
