"name","slug","type","name_with_type","code","id","isDeleted"
"An Giang","an-giang","tinh","Tỉnh An Giang","89","2","False"
"Bà Rịa - Vũng Tàu","ba-ria---vung-tau","tinh","Tỉnh Bà Rịa - Vũng Tàu","77","60eaaa6f1173335842c3565b","False"
"Bạc Liêu","bac-lieu","tinh","Tỉnh Bạc Liêu","95","60eaaa6f1173335842c35668","False"
"Bắc Giang","bac-giang","tinh","Tỉnh Bắc Giang","24","60eaaa6f1173335842c35639","False"
"Bắc Kạn","bac-kan","tinh","Tỉnh Bắc Kạn","06","60eaaa6f1173335842c3562e","False"
"Bắc Ninh","bac-ninh","tinh","Tỉnh Bắc Ninh","27","60eaaa6f1173335842c3563c","False"
"Bến Tre","ben-tre","tinh","Tỉnh Bến Tre","83","60eaaa6f1173335842c3565f","False"
"Bình Dương","binh-duong","tinh","Tỉnh Bình Dương","74","60eaaa6f1173335842c35659","False"
"Bình Định","binh-dinh","tinh","Tỉnh Bình Định","52","60eaaa6f1173335842c3564d","False"
"Bình Phước","binh-phuoc","tinh","Tỉnh Bình Phước","70","60eaaa6f1173335842c35657","False"
"Bình Thuận","binh-thuan","tinh","Tỉnh Bình Thuận","60","60eaaa6f1173335842c35651","False"
"Cà Mau","ca-mau","tinh","Tỉnh Cà Mau","96","60eaaa6f1173335842c35669","False"
"Cao Bằng","cao-bang","tinh","Tỉnh Cao Bằng","04","60eaaa6f1173335842c3562d","False"
"Cần Thơ","can-tho","thanh-pho","Thành phố Cần Thơ","92","60eaaa6f1173335842c35665","False"
"Đà Nẵng","da-nang","thanh-pho","Thành phố Đà Nẵng","48","60eaaa6f1173335842c3564a","False"
"Đắk Lắk","dak-lak","tinh","Tỉnh Đắk Lắk","66","60eaaa6f1173335842c35654","False"
"Đắk Nông","dak-nong","tinh","Tỉnh Đắk Nông","67","60eaaa6f1173335842c35655","False"
"Điện Biên","dien-bien","tinh","Tỉnh Điện Biên","11","60eaaa6f1173335842c35631","False"
"Đồng Nai","dong-nai","tinh","Tỉnh Đồng Nai","75","60eaaa6f1173335842c3565a","False"
"Đồng Tháp","dong-thap","tinh","Tỉnh Đồng Tháp","87","60eaaa6f1173335842c35662","False"
"Gia Lai","gia-lai","tinh","Tỉnh Gia Lai","64","60eaaa6f1173335842c35653","False"
"Hà Giang","ha-giang","tinh","Tỉnh Hà Giang","02","60eaaa6f1173335842c3562c","False"
"Hà Nam","ha-nam","tinh","Tỉnh Hà Nam","35","60eaaa6f1173335842c35641","False"
"Hà Nội","ha-noi","thanh-pho","Thành phố Hà Nội","01","60eaaa6f1173335842c3562b","False"
"Hà Tĩnh","ha-tinh","tinh","Tỉnh Hà Tĩnh","42","60eaaa6f1173335842c35646","False"
