"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa721173335842c35ebd"," A Dơi","xa","a-doi","Xã  A Dơi"," A Dơi, Hướng Hóa, Quảng Trị","Xã  A Dơi, Huyện Hướng Hóa, Tỉnh Quảng Trị","19483","465","False"
"60eaaa721173335842c369a0"," An Lạc","phuong","an-lac","Phường  An Lạc"," An Lạc, Bình Tân, Hồ Chí Minh","Phường  An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh","27460","777","False"
"60eaaa721173335842c365d2"," Đắk Lao","xa","dak-lao","Xã  Đắk Lao"," Đắk Lao, Đắk Mil, Đắk Nông","Xã  Đắk Lao, Huyện Đắk Mil, Tỉnh Đắk Nông","24667","663","False"
"60eaaa731173335842c36e3f"," Hòa Thuận","xa","hoa-thuan","Xã  Hòa Thuận"," Hòa Thuận, Giồng Riềng, Kiên Giang","Xã  Hòa Thuận, Huyện Giồng Riềng, Tỉnh Kiên Giang","30949","906","False"
"60eaaa6e1173335842c34ce9"," Hoàng Văn Thụ","xa","hoang-van-thu","Xã  Hoàng Văn Thụ"," Hoàng Văn Thụ, Văn Lãng, Lạng Sơn","Xã  Hoàng Văn Thụ, Huyện Văn Lãng, Tỉnh Lạng Sơn","06178","182","False"
"60eaaa701173335842c356df"," Mỹ Lộc","xa","my-loc","Xã  Mỹ Lộc"," Mỹ Lộc, Thái Thụy, Thái Bình","Xã  Mỹ Lộc, Huyện Thái Thụy, Tỉnh Thái Bình","12949","341","False"
"60eaaa701173335842c35d32"," Tây Sơn","thi-tran","tay-son","Thị trấn  Tây Sơn"," Tây Sơn, Hương Sơn, Hà Tĩnh","Thị trấn  Tây Sơn, Huyện Hương Sơn, Tỉnh Hà Tĩnh","18136","439","False"
"60eaaa721173335842c35ff6"," Tư","xa","tu","Xã  Tư"," Tư, Đông Giang, Quảng Nam","Xã  Tư, Huyện Đông Giang, Tỉnh Quảng Nam","20482","505","False"
"60eaaa721173335842c368d3","01","phuong","01","Phường 01","01, Gò Vấp, Hồ Chí Minh","Phường 01, Quận Gò Vấp, Thành phố Hồ Chí Minh","26896","764","False"
"60eaaa721173335842c368e5","01","phuong","01","Phường 01","01, Bình Thạnh, Hồ Chí Minh","Phường 01, Quận Bình Thạnh, Thành phố Hồ Chí Minh","26944","765","False"
